place_name,place_id,yr,period,index_nsa
District of Columbia,DC,2021,3,1016.68
Massachusetts,MA,2021,3,993.04
Washington,WA,2021,3,844.69
New York,NY,2021,3,841.13
California,CA,2021,3,800.74
Oregon,OR,2021,3,735.4
Rhode Island,RI,2021,3,733.44
Maine,ME,2021,3,727.59
Hawaii,HI,2021,3,724.19
Colorado,CO,2021,3,723.94
Utah,UT,2021,3,691.89
Idaho,ID,2021,3,670.74
New Jersey,NJ,2021,3,645.05
New Hampshire,NH,2021,3,632.34
Montana,MT,2021,3,628.77
Vermont,VT,2021,3,614.19
Florida,FL,2021,3,606.25
Arizona,AZ,2021,3,584.58
Delaware,DE,2021,3,572.93
Maryland,MD,2021,3,570.7
Virginia,VA,2021,3,569.79
Pennsylvania,PA,2021,3,532.9
Nevada,NV,2021,3,509.98
Tennessee,TN,2021,3,504.83
Connecticut,CT,2021,3,500.47
North Carolina,NC,2021,3,497.75
South Carolina,SC,2021,3,497.04
Minnesota,MN,2021,3,492.49
South Dakota,SD,2021,3,483.58
Georgia,GA,2021,3,475.56
Wisconsin,WI,2021,3,441.84
Kentucky,KY,2021,3,427.78
Michigan,MI,2021,3,425.4
Texas,TX,2021,3,421.03
New Mexico,NM,2021,3,417.23
Missouri,MO,2021,3,415.68
North Dakota,ND,2021,3,413.34
Nebraska,NE,2021,3,409.84
Alabama,AL,2021,3,405.68
Illinois,IL,2021,3,400.45
Wyoming,WY,2021,3,393.63
Indiana,IN,2021,3,385.76
Alaska,AK,2021,3,382.84
Ohio,OH,2021,3,373.7
Kansas,KS,2021,3,358.84
Iowa,IA,2021,3,353.25
Arkansas,AR,2021,3,352.4
Louisiana,LA,2021,3,326.82
Mississippi,MS,2021,3,325.37
Oklahoma,OK,2021,3,301.2
West Virginia,WV,2021,3,273.42
