yr,index_nsa
1975,63.0975490196079
1976,67.181568627451
1977,74.2283333333333
1978,84.2344607843137
1979,95.4753431372549
1980,102.066470588235
1981,105.816274509804
1982,107.489068627451
1983,113.898529411765
1984,119.216617647059
1985,125.242352941177
1986,134.524117647059
1987,143.888284313726
1988,151.435588235294
1989,157.702009803922
1990,161.7725
1991,164.593039215686
1992,169.125980392157
1993,173.736323529412
1994,179.104460784314
1995,185.168823529412
1996,191.591323529412
1997,197.337303921569
1998,206.424264705882
1999,215.555343137255
2000,228.48705882353
2001,245.354411764706
2002,261.851176470588
2003,279.172058823529
2004,307.789950980392
2005,345.372352941176
2006,372.276862745098
2007,378.97681372549
2008,364.165637254902
2009,345.708235294117
2010,332.653774509804
2011,321.963823529412
2012,321.685784313725
2013,331.349117647059
2014,344.789705882353
2015,360.876323529412
2016,377.948676470588
2017,396.585784313725
2018,417.443431372549
2019,436.473333333333
2020,458.943872549019
2021,510.009346405229
